Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	existence	day	not	_	_	_	_	Mother	not a very nice day out today Fraser	24
perception	existence	this	no	_	_	_	_	Mother	no this is Fraser's bed as well	24
perception	existence	what	no	_	_	_	_	Mother	no what	24
perception	possession	do	not	_	_	_	_	Mother	pigs do n't have	24
perception	existence	cat	no	_	_	_	_	Mother	no the cat does n't want a bot_bot	24
perception	possession	do	not	_	_	_	_	Mother	she drinks milk but she does n't have it in a bot_bot	24
perception	existence	Liz	no	_	_	_	_	Target_Child	no Liz	24
perception	existence	puzzle	no	_	_	_	_	Target_Child	no igsaw puzzle gain	24
perception	possession	do	not	_	_	_	_	Mother	does this mean I do n't haf ta take you out to lunch	30
perception	existence	tree	no	_	_	_	_	Mother	there are no trees said the owl	67
perception	possession	do	not	_	_	_	_	Mother	she does n't have these	67
perception	possession	do	not	_	_	_	_	Mother	glad I do n't haf ta feed him	67
perception	existence	he	no	_	_	_	_	Target_Child	no he	43
perception	existence	one	no	_	_	_	_	Mother	no one stopped them	45
perception	existence	time	no	_	_	_	_	Mother	the class did a whole week's worth of work in no time	45
perception	possession	should	not	_	_	_	_	Mother	we should n't have gotten rid of Mister Blandsworth they said	45
perception	existence	girl	no	_	_	_	_	Mother	no a cow's a girl	45
perception	existence	I	not	_	_	_	_	Mother	not I like	29
perception	existence	you	not	_	_	_	_	Target_Child	not you	29
perception	possession	do	not	_	_	_	_	Target_Child	I do n't have my breakfast	29
perception	existence	picture	not	_	_	_	_	Mother	beautiful picture is n't it	29
perception	existence	it	not	_	_	_	_	Mother	oh the red one's broken is n't it	29
perception	existence	shape	not	_	_	_	_	Mother	same shape as a planet is n't it	29
perception	existence	Baby_Blue	not	_	_	_	_	Target_Child	not Baby_Blue	29
perception	existence	you	not	_	_	_	_	Target_Child	you not called Mummy	29
perception	existence	you	not	_	_	_	_	Mother	are you not keen	29
perception	possession	can	not	_	_	_	_	Target_Child	you ca n't have your feet wet yet	29
perception	existence	bread	no	_	_	_	_	Target_Child	there 's no bread at top of it	29
perception	existence	bread	no	_	_	_	_	Mother	there 's no bread	29
perception	possession	can	not	_	_	_	_	Target_Child	you ca n't have my bread	29
perception	existence	Im	not	_	_	_	_	Mother	Im not sure we could have one	29
perception	existence	I	no	_	_	_	_	Target_Child	no I	29
perception	existence	this	no	_	_	_	_	Target_Child	no this is mine	33
perception	existence	John	no	_	_	_	_	Mother	no John	30
perception	existence	tree	no	_	_	_	_	Mother	there are no trees said the owl	59
perception	existence	problem	no	_	_	_	_	Mother	no problem said the brave knight	59
perception	existence	mud	no	_	_	_	_	Mother	and no mud stew for dinner added Kermit	59
perception	existence	bonnet	no	_	_	_	_	Mother	no bonnet said piggie and definitely no mud stew	59
perception	existence	stew	no	_	_	_	_	Mother	no bonnet said piggie and definitely no mud stew	59
perception	existence	hair	not	_	_	_	_	Mother	and so she knows that I do and the brush although I use a brush for her hair not that often she does n't know a brush I did n't think she knew the brush	20
perception	existence	learn	not	_	_	_	_	Mother	the learning not to hit to be nice and that involves kissing and patting	20
perception	possession	do	not	_	_	_	_	Target_Child	and I did n't have nothing to do	60
perception	existence	highchair	no	_	_	_	_	Target_Child	no highchair	29
perception	existence	need	no	_	_	_	_	Mother	no need for tears	29
perception	existence	reach	no	_	_	_	_	Target_Child	no reach	29
perception	existence	reach	no	_	_	_	_	Mother	no reach	29
perception	existence	bowl	no	_	_	_	_	Target_Child	no Thomas bowl	29
perception	existence	this	no	_	_	_	_	Mother	no this is rabbit flavored	29
perception	existence	she	not	_	_	_	_	Mother	she 's washing again is n't she	29
perception	existence	pink	no	_	_	_	_	Target_Child	no pink one	29
perception	existence	red	no	_	_	_	_	Target_Child	no red no	29
perception	existence	red	no	_	_	_	_	Mother	no red no	29
perception	existence	it	not	_	_	_	_	Mother	we must eat a lot of apples because when Granddad brought that box last week it was really full was n't it	29
perception	possession	I	not	_	_	_	_	Mother	can I not have that one	45
perception	existence	me	not	_	_	_	_	Target_Child	me not you	45
perception	existence	school	no	_	_	_	_	Target_Child	no big school	45
perception	existence	front	not	_	_	_	_	Mother	they 've got to join on the side not the front	45
perception	existence	truck	no	_	_	_	_	Mother	no the truck	45
perception	possession	can	not	_	_	_	_	Mother	you ca n't have mine in future then	45
perception	possession	be	not	_	_	_	_	Target_Child	yes we 're not having tea yet cause it just been out	45
perception	existence	fever	no	_	_	_	_	Mother	no fever	13
perception	existence	touch	no	_	_	_	_	Mother	no touchie	13
perception	existence	touch	no	_	_	_	_	Mother	no touch	13
perception	existence	problem	no	_	_	_	_	Mother	no problem	13
perception	existence	problem	no	_	_	_	_	Mother	no problem	13
perception	existence	problem	no	_	_	_	_	Mother	no problem	13
perception	existence	sandwich	not	_	_	_	_	Target_Child	cold my sandwich not cold	29
perception	existence	those	no	_	_	_	_	Target_Child	no more those	29
perception	existence	those	no	_	_	_	_	Target_Child	no more those	29
perception	existence	butter	no	_	_	_	_	Target_Child	no the new peanut butter	48
perception	existence	way	no	_	_	_	_	Target_Child	no way	48
perception	possession	mine	not	_	_	_	_	Mother	so that 's Paul's mommy's problem not mine	48
perception	existence	he	not	_	_	_	_	Mother	oops he 's lying down is n't he	24
perception	existence	cup	no	_	_	_	_	Mother	no a cup of tea for her is n't there	24
perception	existence	deer	not	_	_	_	_	Mother	a deer not d	24
perception	existence	brush	no	_	_	_	_	Target_Child	oh no brush hair	24
perception	existence	more	no	_	_	_	_	Target_Child	no more	24
perception	existence	it	not	_	_	_	_	Mother	I think it 's a bit small for you to go on is n't it	24
perception	possession	have	not	_	_	_	_	Mother	not having a crisp now	29
perception	possession	do	not	_	_	_	_	Mother	we do n't have any crisps	29
perception	possession	do	not	_	_	_	_	Mother	do n't haf ta go to the doctors all the time Darling	29
perception	existence	cookie	no	_	_	_	_	Target_Child	no cookie	23
perception	existence	cookie	no	_	_	_	_	Target_Child	no cookie	23
